"Matsue, Japan",relation,boundary,35.329702,35.8017066,132.8287487,133.5282837
"Nagareyama, Japan",relation,boundary,35.827512,35.91976,139.87475,139.957543
"Katsuta, Japan",node,place,34.7635602,34.7835602,138.1615781,138.1815781
"Kumagaya, Japan",relation,boundary,36.069633,36.254374,139.289606,139.4466167
"Tottori, Japan",relation,boundary,35.057678,35.8030537,133.135879,134.515408
"Ota, Japan",relation,boundary,35.5054329,35.6130909,139.6528262,139.9213618
"Komaki, Japan",relation,boundary,35.255171,35.3389202,136.8805483,137.0457387
"Ogaki, Japan",relation,boundary,35.216733,35.41087,136.377267,136.690585
"Higashimurayama, Japan",relation,boundary,35.734506,35.7814574,139.440001,139.504787
"Ome, Japan",relation,boundary,35.754545,35.850868,139.137157,139.330362
"Moriguchi, Japan",relation,boundary,34.708782,34.767522,135.553401,135.606928
"Yamaguchi, Japan",relation,boundary,33.8126851,34.504507,131.292017,131.795511
"Otaru, Japan",relation,boundary,43.06084,43.567358,140.8162516,141.292543
"Urayasu, Japan",relation,boundary,35.5411147,35.672741,139.8564274,139.9858814
"Yonago, Japan",relation,boundary,35.374067,35.519628,133.226853,133.48055
"Kuwana, Japan",relation,boundary,34.9888016,35.180931,136.573366,136.755169
"Kariya, Japan",relation,boundary,34.94739,35.069162,136.978797,137.068779
"Musashino, Japan",relation,boundary,35.693963,35.7218945,139.5246277,139.59547
"Zama, Japan",relation,boundary,35.4684427,35.515425,139.373712,139.438834
"Seto, Japan",relation,boundary,35.178801,35.301647,137.048432,137.189488
"Ebetsu, Japan",relation,boundary,43.016069,43.172715,141.444392,141.668804
"Tondabayashicho, Japan",node,place,34.4897399,34.5097399,135.5920457,135.6120457
"Fujieda, Japan",relation,boundary,34.815806,35.015712,138.151672,138.327492
"Sandacho, Japan",node,place,34.8746874,34.8946874,135.2156314,135.2356314
"Kakamigahara, Japan",relation,boundary,35.355923,35.44673,136.79202,136.963092
"Omuta, Japan",relation,boundary,32.9397302,33.098581,130.2801647,130.5424533
"Abiko, Japan",relation,boundary,35.840754,35.900613,139.988665,140.146464
"Kadoma, Japan",relation,boundary,34.710754,34.750389,135.571059,135.623929
"Miyakonojo, Japan",relation,boundary,31.619908,31.94483,130.875022,131.254379
"Matsubara, Japan",relation,boundary,34.553805,34.599448,135.521,135.585756
"Isesaki, Japan",relation,boundary,36.2425871,36.408374,139.136173,139.2829949
"Daitocho, Japan",node,place,35.494357,35.514357,139.685019,139.705019
"Mino, Japan",relation,boundary,35.510479,35.652281,136.838417,136.979013
"Asaka, Japan",relation,boundary,35.778366,35.835246,139.572775,139.623366
"Kusatsu, Japan",relation,boundary,34.971677,35.0881225,135.8878505,135.999258
"Ueda, Japan",relation,boundary,36.217194,36.554671,138.069068,138.413973
